movies,year,genre,rating,brief summary,votes,director,actor,count_actors,count_directors,rating category,voting category
News of the World,2020,"Action, Adventure, Drama            ",6.8,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",69037,Paul Greengrass,"Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson",4,1,Moderate,Very Popular
Mother!,2017,"Drama, Horror, Mystery            ",6.6,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",201141,Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer",4,1,Moderate,Very Popular
National Lampoon's Animal House,1978,Comedy            ,7.5,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",115289,John Landis,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst",4,1,High,Very Popular
Honest Thief,2020,"Action, Crime, Drama            ",6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",40186,Mark Williams,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan",4,1,Moderate,Very Popular
Midnight in Paris,2011,"Comedy, Fantasy, Romance            ",7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",399157,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",4,1,High,Very Popular
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller            ",8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",706053,Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah",4,1,High,Very Popular
Moneyball,2011,"Biography, Drama, Sport            ",7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,386263,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",4,1,High,Very Popular
Extraction,2020,"Action, Thriller            ",6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",174406,Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal",4,1,Moderate,Very Popular
Snowpiercer,2013,"Action, Drama, Sci-Fi            ",7.1,"In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.",335946,Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",4,1,High,Very Popular
300: Rise of an Empire,2014,"Action, Drama            ",6.2,"Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",286734,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",4,1,Moderate,Very Popular
Kimi no na wa.,2016,"Animation, Drama, Fantasy            ",8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",217433,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki",4,1,High,Very Popular
Booksmart,2019,Comedy            ,7.2,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",103143,Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis",4,1,High,Very Popular
The Water Man,2020,"Adventure, Drama, Family            ",5.3,A boy sets out on a quest to save his ill mother by searching for a mythic figure said to have magical healing powers.,1978,David Oyelowo,"Rosario Dawson, Maria Bello, Alfred Molina, David Oyelowo",4,1,Moderate,Popular
Oxygène,2021,"Drama, Fantasy, Sci-Fi            ",6.5,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.",27918,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Laura Boujenah",4,1,Moderate,Very Popular
Jaws 2,1978,"Adventure, Horror, Thriller            ",5.8,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,73931,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo",4,1,Moderate,Very Popular
Enola Holmes,2020,"Action, Adventure, Crime            ",6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",145206,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter",4,1,Moderate,Very Popular
Rurôni Kenshin: Sai shûshô - The Final,2021,"Action, Adventure, Drama            ",7.2,"Kenshin's past catches up to him causing the destruction of Akabeko Restaurant, which was Kenshin's favorite place to eat. There, he finds a note with the word ""Junchu"" on it.",4682,Keishi Ohtomo,"Takeru Satoh, Shin",2,1,High,Popular
Tropic Thunder,2008,"Action, Comedy, War            ",7.0,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",391033,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr",3,1,High,Very Popular
Beauty and the Beast,2017,"Family, Fantasy, Musical            ",7.1,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",284484,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",4,1,High,Very Popular
